16.78.8.108 - - [10/Aug/2025:03:07:00 +0700] "GET /v1/api/sync/master/item_price HTTP/1.1" 200 23 "-" "Go-http-client/1.1" "-"
182.3.42.228 - - [10/Aug/2025:12:47:49 +0700] "GET /v1/api/customer/target/quarter?&by=cus.customer_name&customer_id=107202389&quarter=3&year=2025 HTTP/1.1" 200 285 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:49 +0700] "GET /v1/api/point/balance/customer_id/107202389 HTTP/1.1" 200 44 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:49 +0700] "GET /v1/api/customer_activities/select?&by=def.id&customer_id=107202389&sort=desc HTTP/1.1" 200 426 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:49 +0700] "GET /v1/api/customer/target/year?&by=cus.customer_name&customer_id=107202389&year=2025&sort=asc HTTP/1.1" 200 507 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:50 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:50 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:51 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:53 +0700] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:53 +0700] "GET /static/js/main.b3ef6d65.js HTTP/1.1" 304 0 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:53 +0700] "GET /static/css/main.2435e793.css HTTP/1.1" 304 0 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:54 +0700] "GET /logo.png HTTP/1.1" 304 0 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:55 +0700] "GET /v1/api/customer/target/year?&by=def.id&customer_id=107202389&year=2025 HTTP/1.1" 200 511 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:55 +0700] "GET /v1/api/customer/target/semester?&by=cus.customer_name&customer_id=107202389&semester=2&year=2025 HTTP/1.1" 200 285 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:55 +0700] "GET /v1/api/customer/target/quarter?&by=cus.customer_name&customer_id=107202389&quarter=3&year=2025 HTTP/1.1" 200 285 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:55 +0700] "GET /v1/api/customer/target/year?&by=cus.customer_name&customer_id=107202389&year=2025&sort=asc HTTP/1.1" 200 507 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:55 +0700] "GET /v1/api/customer_activities/select?&by=def.id&customer_id=107202389&sort=desc HTTP/1.1" 200 426 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:55 +0700] "GET /v1/api/point/balance/customer_id/107202389 HTTP/1.1" 200 44 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:55 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:55 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:56 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:56 +0700] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:57 +0700] "GET /v1/api/customer/target/semester?&by=cus.customer_name&customer_id=107202389&semester=2&year=2025 HTTP/1.1" 200 285 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:57 +0700] "GET /v1/api/point/balance/customer_id/107202389 HTTP/1.1" 200 44 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:57 +0700] "GET /v1/api/customer_activities/select?&by=def.id&customer_id=107202389&sort=desc HTTP/1.1" 200 426 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:57 +0700] "GET /v1/api/customer/target/quarter?&by=cus.customer_name&customer_id=107202389&quarter=3&year=2025 HTTP/1.1" 200 285 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:57 +0700] "GET /v1/api/customer/target/year?&by=def.id&customer_id=107202389&year=2025 HTTP/1.1" 200 511 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:57 +0700] "GET /v1/api/customer/target/year?&by=cus.customer_name&customer_id=107202389&year=2025&sort=asc HTTP/1.1" 200 507 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:57 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:58 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:58 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
16.78.8.108 - - [10/Aug/2025:12:48:00 +0700] "GET /v1/api/sync/transaction/sodata/push HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:12:48:00 +0700] "GET /v1/api/sync/transaction/sodata/sendfcmmessage HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:12:48:00 +0700] "GET /v1/api/sync/transaction/invoice/redis/sfa/undone/sync HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:12:48:00 +0700] "GET /v1/api/sync/transaction/sodata/sendsamesmanwa HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:12:48:00 +0700] "GET /v1/api/apps/firebaseuid/sync HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:12:48:00 +0700] "GET /v1/api/sync/transaction/revisedsodata HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:12:48:00 +0700] "GET /v1/api/sync/transaction/voidedrequest HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
182.3.42.228 - - [10/Aug/2025:12:48:02 +0700] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:03 +0700] "GET /v1/api/customer/target/quarter?&by=cus.customer_name&customer_id=107202389&quarter=3&year=2025 HTTP/1.1" 200 285 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:03 +0700] "GET /v1/api/customer/target/semester?&by=cus.customer_name&customer_id=107202389&semester=2&year=2025 HTTP/1.1" 200 285 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:03 +0700] "GET /v1/api/customer_activities/select?&by=def.id&customer_id=107202389&sort=desc HTTP/1.1" 200 426 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:03 +0700] "GET /v1/api/customer/target/year?&by=def.id&customer_id=107202389&year=2025 HTTP/1.1" 200 511 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:03 +0700] "GET /v1/api/point/balance/customer_id/107202389 HTTP/1.1" 200 44 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:03 +0700] "GET /v1/api/customer/target/year?&by=cus.customer_name&customer_id=107202389&year=2025&sort=asc HTTP/1.1" 200 507 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:03 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:03 +0700] "GET /v1/api/web/branch/select?&by=def.id&user_id=15845 HTTP/1.1" 200 269 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:03 +0700] "GET /v1/api/salesman_type/select?&by=def.id&sort=asc HTTP/1.1" 200 356 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:03 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:04 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:04 +0700] "GET /v1/api/web/customer/?by=c.created_date&by=c.id&admin_user_id=15845&page=1&limit=10&branch_id=&show_in_app=1 HTTP/1.1" 200 4988 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:04 +0700] "GET /v1/api/web/customer/?by=c.created_date&by=c.customer_name&sort=desc&admin_user_id=15845&page=1&limit=10 HTTP/1.1" 200 5066 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:10 +0700] "GET /v1/api/web/customer/?&page=1&limit=10&admin_user_id=15845&search=Nana&branch_id=&phone_number=&show_in_app=1&by=c.id&customer_type_id=&salesman_type_id=&is_data_complete=&active=&admin_validate= HTTP/1.1" 200 2135 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:12 +0700] "GET /v1/api/customer/target/year?&by=def.id&customer_id=107202514&year=2025 HTTP/1.1" 200 302 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:12 +0700] "GET /v1/api/customer/target/quarter?&by=cus.customer_name&customer_id=107202514&quarter=3&year=2025 HTTP/1.1" 200 23 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:12 +0700] "GET /v1/api/customer/target/semester?&by=cus.customer_name&customer_id=107202514&semester=2&year=2025 HTTP/1.1" 200 23 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:12 +0700] "GET /v1/api/customer_activities/select?&by=def.id&customer_id=107202514&sort=desc HTTP/1.1" 200 216 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:48:12 +0700] "GET /v1/api/point/balance/customer_id/107202514 HTTP/1.1" 200 44 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
